"energy","danceability","tempo","valence","views","likes","stream"
"0.705","0.818","138.559","0.772","693555221","6220896","1040234854"
"0.703","0.676","92.761","0.852","72011645","1079128","310083733"
"0.923","0.695","108.014","0.551","8435055","282142","63063467"
"0.739","0.689","120.423","0.578","211754952","1788577","434663559"
"0.694","0.663","167.953","0.525","618480958","6197318","617259738"
"0.891","0.76","120.264","0.966","259021161","1844658","323850327"
"0.897","0.716","127.03","0.358","451996","11686","10666154"
"0.815","0.726","140.158","0.462","1010982","17675","159605929"
"0.913","0.741","120.012","0.643","24459820","739527","42671901"
"0.877","0.625","192.296","0.865","154761056","1386920","191074713"
"0.767","0.592","96.483","0.328","1018811259","4394471","1055738398"
"0.345","0.559","84.581","0.458","246687714","1213572","1061750522"
"0.938","0.618","91.455","0.875","336635759","1740224","866464951"
"0.717","0.595","88.969","0.547","435121530","1890900","613838674"
"0.795","0.458","123.229","0.513","673528656","3140356","732774515"
"0.9","0.427","104.655","0.599","320871237","1272266","860722316"
"0.913","0.556","96.184","0.73","324228662","1456622","550067391"
"0.97","0.451","122.444","0.198","179005296","784717","367485508"
"0.936","0.666","91.577","0.776","86637926","434837","301947159"
"0.742","0.7","91.959","0.197","440037964","2094182","385677873"
"0.72","0.902","90.059","0.805","1682616458","10481678","1041736808"
"0.574","0.614","125.173","0.755","838974650","5014527","701248893"
"0.692","0.489","96.946","0.527","476133463","2523312","395155110"
"0.758","0.7","78.693","0.889","572659065","3334710","541728561"
"0.826","0.653","108.52","0.416","441155628","2765887","332175400"
"0.659","0.925","97.018","0.71","39825951","382791","202477187"
"0.807","0.576","90.012","0.908","503248572","2759199","446003044"
"0.776","0.853","94.028","0.659","5289821","245935","28529840"
"0.631","0.892","93.975","0.838","46096","612","210473579"
"0.64","0.545","181.733","0.574","291023","5729","160037992"
"0.834","0.566","123.296","0.621","573553706","2828795","0"
"0.394","0.547","142.37","0.17","1209806093","5127599","0"
"0.828","0.539","105.25","0.562","20762910","293409","0"
"0.972","0.511","132.97","0.532","107553434","429797","327681785"
"0.583","0.531","139.503","0.207","426125708","1781690","0"
"0.86","0.512","117.909","0.258","23666398","274106","0"
"0.996","0.386","130.573","0.188","14937918","473751","20061385"
