"track","artist","album","energy","danceability","views","likes","comments","stream","engagement_rate"
"Voodoo People","The Prodigy","Music for the Jilted Generation","0.998","0.664","14572587","104394","3803","25125729","0.007163724601541236"
"No Good (Start the Dance)","The Prodigy","Music for the Jilted Generation","0.996","0.642","49424149","297075","12169","33337273","0.006010725647496733"
"Saiya Davatare","Shilpi Raj","Saiya Davatare","0.992","0.641","3154573","16616","157","2526755","0.005267273890951327"
"New York City Boy - 2017 Remaster","Pet Shop Boys","Nightlife: Further Listening 1996 - 2000 (2017 Remaster)","0.991","0.724","21124915","118080","4912","32057208","0.005589608289548147"
"The Rockafeller Skank","Fatboy Slim","You've Come A Long Way Baby","0.991","0.665","28252324","224773","6391","92809525","0.007955911874718696"
"Love Tonight (David Guetta Remix)","Shouse","Love Tonight (David Guetta Remix)","0.99","0.623","17640685","333149","2478","5235354","0.018885264376071565"
"Love Tonight (David Guetta Remix Edit)","Shouse","Love Tonight (David Guetta Remix)","0.989","0.621","17640685","333149","2478","286514811","0.018885264376071565"
"Love Tonight (David Guetta Remix Edit)","David Guetta","Love Tonight (David Guetta Remix)","0.989","0.621","17640675","333147","2478","286514811","0.0188851617072476"
"Love Tonight (David Guetta Remix Edit)","Shouse","Love Tonight (David Guetta Remix)","0.989","0.621","17640685","333149","2478","286514811","0.018885264376071565"
"Love Tonight (David Guetta Remix Edit)","David Guetta","Love Tonight (David Guetta Remix)","0.989","0.621","17640675","333147","2478","286514811","0.0188851617072476"
"Cinema - Skrillex Remix","Benny Benassi","Electroman","0.985","0.637","8574221","66340","4059","135648229","0.007737146033441405"
"Outta Your Mind","Lil Jon","Crunk Rock (Deluxe)","0.984","0.876","34373643","192603","6218","49656144","0.005603217558290228"
"Yo Te Diré","Miranda!","El Templo del Pop","0.98","0.917","3992795","158349","6563","39314710","0.03965868520672862"
"Yo Te Diré","Miranda!","El Templo del Pop","0.98","0.917","3992795","158349","6563","39314710","0.03965868520672862"
"What's My Name","DMX","...And Then There Was X","0.98","0.647","35781372","210559","11113","27777626","0.005884598276443955"
"Grita","Alfonso Herrera","Clase 406 El Siguiente Paso... !","0.979","0.648","5565","39","1","0","0.007008086253369272"
"Ya Mama","Fatboy Slim","Halfway Between The Gutter And The Stars","0.979","0.626","16085961","198153","4592","0","0.012318381226959335"
"B.O.B. - Bombs Over Baghdad","Outkast","Stankonia","0.978","0.746","22776775","188283","8091","81911624","0.008266446852111416"
"So What'Cha Want","Beastie Boys","Anthology: The Sounds Of Science","0.978","0.695","36075350","235541","13561","28842105","0.0065291397034263005"
"Bad Boy","Cascada","Everytime We Touch (Premium Edition)","0.978","0.666","3436478","40852","962","42190812","0.011887752518712472"
"Kakari Bhayil Ba Kamariya Lapak Ke 2","Shilpi Raj","Kakari Bhayil Ba Kamariya Lapak Ke 2","0.975","0.722","61212788","369084","7762","2735929","0.006029524418982518"
"Scary Garry","Kingpin Skinny Pimp","Scary Garry","0.974","0.812","43820274","924593","835","136482067","0.021099662681251147"
"La Fórmula Sigue","Maldy","La Fórmula","0.974","0.732","57359525","250591","13067","6175950","0.004368777461110426"
"Pica","Elvis Crespo","Pica","0.974","0.688","5444293","29286","507","16024902","0.005379210854375398"
"Maa Bava Manobhavalu (From ""Veera Simha Reddy"")","Thaman S","Maa Bava Manobhavalu (From ""Veera Simha Reddy"")","0.974","0.655","2359876","17107","0","2871607","0.007249109698984184"
"Ra Ra Rakkamma (From ""Vikrant Rona"")","Sunidhi Chauhan","Ra Ra Rakkamma (From ""Vikrant Rona"")","0.972","0.839","48830075","397639","4517","17554316","0.008143321508312243"
