"artist","youtube_streams","spotify_streams","youtube_likes","spotify_likes","youtube_comments","spotify_comments","youtube_avg_views_per_track","spotify_avg_views_per_track","youtube_engagement_rate","spotify_engagement_rate","best_platform"
"Dua Lipa","1807370674","11600705600","16730579","45897098","373961","952192","1807370674.00000000","1288967288.88888889","0.00925686094207368997","0.00395640572070029947","Spotify"
"The Weeknd","1762745054","11269228322","11780694","37276186","308139","1120925","1762745054.00000000","1252136480.22222222","0.00668315249177264179","0.00330778514152816718","Spotify"
"Maroon 5","2136358553","8586149063","19704107","25806208","546540","800559","1068179276.50000000","1073268632.87500000","0.00922322096744029091","0.00300556254155961653","Spotify"
"Shawn Mendes","1697308263","8414005465","11040774","49490346","273330","1568852","1697308263.00000000","934889496.11111111","0.00650487259190347794","0.00588190086230232797","Spotify"
"Justin Bieber","3743554974","8354212448","49320239","29264109","6192929","1066191","1247851658.00000000","1193458921.14285714","0.01317470675401920784","0.00350291654445606457","Spotify"
"Coldplay","4007768875","7770709361","32295495","30862400","991130","1133240","1335922958.33333333","1110101337.28571429","0.00805822291835628870","0.00397163226241527681","Spotify"
"Imagine Dragons","4269352986","7588957942","32419274","39855203","976931","1027501","2134676493.00000000","948619742.75000000","0.00759348643841556558","0.00525173591744751825","Spotify"
"Ed Sheeran","7829029355","6565852202","64424520","19118799","1979015","541807","2609676451.66666667","937978886.00000000","0.00822892814405598815","0.00291185339112206839","YouTube"
"Eminem","3720490624","6028097110","38063016","27450518","1911729","1007325","930122656.00000000","1004682851.66666667","0.01023064424741848241","0.00455376174256754799","Spotify"
"Bruno Mars","5150708421","5747154529","33667009","25949137","1163100","761216","1287677105.25000000","957859088.16666667","0.00653638417246372021","0.00451512776784777488","Spotify"
"Calvin Harris","4503304246","5045237605","26950025","17534025","816298","381666","1125826061.50000000","840872934.16666667","0.00598450016428226022","0.00347536159300469655","Spotify"
"Adele","3123060800","4923620066","24588524","12779076","872557","438743","1041020266.66666667","703374295.14285714","0.00787321335530835647","0.00259546346564101439","Spotify"
"Lady Gaga","2395843342","4677387832","19392282","15716484","2031974","465556","598960835.50000000","779564638.66666667","0.00809413606476111575","0.00336009853458737095","Spotify"
"Rihanna","3990158141","4582508817","22841846","13433944","828654","445382","997539535.25000000","763751469.50000000","0.00572454654498366660","0.00293156970045825446","Spotify"
"DJ Snake","3579673784","4159789015","45112856","22662975","1403739","694329","1193224594.66666667","594255573.57142857","0.01260250478734684613","0.00544810684346691559","Spotify"
"Wiz Khalifa","1675565853","3977799755","41607995","17840142","2165020","555752","837782926.50000000","497224969.37500000","0.02483220514759439897","0.00448492712021900157","Spotify"
"Linkin Park","2640055115","3722353705","22525109","13655775","960392","545151","1320027557.50000000","465294213.12500000","0.00853206013466124172","0.00366858608349256804","Spotify"
"J Balvin","3526682387","3612267489","29071441","9950909","821562","187179","881670596.75000000","602044581.50000000","0.00824328300931285423","0.00275475418979970229","Spotify"
